Name,Price,Rating,Address
Pebbles Resort,€ 144,"Scored 8.7 8.7Fabulous 1,984 reviews",St Paul's Bay
C'est La Vie Boutik Swieqi,€ 141,Scored 9.2 9.2Superb 351 reviews,Is-Swieqi
Palazzo Violetta,€ 140,"Scored 8.7 8.7Fabulous 1,624 reviews",Sliema
Malta Marriott Resort & Spa,€ 155,"Scored 9.0 9.0Superb 1,283 reviews",St Julian's
Waterfront,€ 141,"Scored 8.9 8.9Fabulous 3,833 reviews",Sliema
ME Malta by Meliá,€ 199,Scored 9.0 9.0Superb 2 reviews,"Paceville, St Julian's"
XVI Suites - Adults Only,€ 151,Scored 8.9 8.9Fabulous 185 reviews,Naxxar
IBB Hotel Palazzo Bettina Malta,€ 163,Scored 9.5 9.5Exceptional 183 reviews,Birgu
HOLM Boutique & SPA - IK Collection,€ 141,"Scored 8.8 8.8Fabulous 1,087 reviews","Ta' Giorni, St Julian's"
Barceló Fortina Malta,€ 147,Scored 8.6 8.6Fabulous 361 reviews,Sliema
Maison Medina Malta,€ 175,Scored 9.8 9.8Exceptional 35 reviews,Rabat
AX The Palace,€ 151,"Scored 8.8 8.8Fabulous 2,369 reviews",Sliema
San Karlu,€ 173,Scored 9.1 9.1Superb 154 reviews,Valletta
Hotel Juliani - Boutique Hotel,€ 145,"Scored 9.3 9.3Superb 1,412 reviews","Paceville, St Julian's"
Casa Asti,€ 166,"Scored 8.8 8.8Fabulous 1,323 reviews",Valletta
The G Hotel by JL,€ 151,"Scored 7.9 7.9Good 1,981 reviews","Paceville, St Julian's"
The Village Boutique and SPA,€ 140,Scored 8.7 8.7Fabulous 711 reviews,Naxxar
SO City Hotel Adults Only,€ 162,"Scored 8.7 8.7Fabulous 1,243 reviews","Paceville, St Julian's"
AX The Victoria Hotel,€ 156,"Scored 8.9 8.9Fabulous 2,516 reviews",Sliema
Luna Holiday Complex,€ 151,"Scored 8.1 8.1Very good 2,468 reviews",Mellieħa
AC Hotel by Marriott St Julian's,€ 156,"Scored 9.2 9.2Superb 1,418 reviews","Paceville, St Julian's"
Vivaldi Hotel,€ 140,"Scored 8.3 8.3Very good 4,660 reviews","Paceville, St Julian's"
JL Hotel,€ 154,Scored 8.1 8.1Very good 546 reviews,"Paceville, St Julian's"
Battery House,€ 191,Scored 9.7 9.7Exceptional 138 reviews,Valletta
Salini Resort,€ 141,"Scored 8.5 8.5Very good 3,594 reviews",St Paul's Bay
Palazzo Consiglia - IK Collection,€ 253,Scored 9.2 9.2Superb 391 reviews,Valletta
Cugo Gran Macina Malta,€ 226,Scored 9.2 9.2Superb 297 reviews,Senglea
La Falconeria Hotel,€ 203,"Scored 9.0 9.0Superb 2,040 reviews",Valletta
Sliema Marina Hotel,€ 159,"Scored 7.8 7.8Good 5,008 reviews",Sliema
DoubleTree by Hilton Malta,€ 141,"Scored 8.4 8.4Very good 2,673 reviews",St Paul's Bay
"InterContinental Malta, an IHG Hotel",€ 155,"Scored 8.8 8.8Fabulous 1,440 reviews","Paceville, St Julian's"
Paradise Bay Resort,€ 141,"Scored 8.0 8.0Very good 3,255 reviews",Mellieħa
The Londoner Hotel St. Julian's,€ 147,Scored 8.6 8.6Fabulous 621 reviews,"Paceville, St Julian's"
The Xara Palace Relais & Chateaux,€ 213,Scored 9.2 9.2Superb 543 reviews,Mdina
Fitch Hotel,€ 141,Scored 8.5 8.5Very good 158 reviews,"Paceville, St Julian's"
Hugo's Boutique Hotel - Adults Only,€ 141,"Scored 8.4 8.4Very good 1,093 reviews","Paceville, St Julian's"
The Capital Boutique Hotel,€ 182,Scored 9.5 9.5Exceptional 814 reviews,Valletta
The Phoenicia Malta,€ 387,Scored 9.4 9.4Superb 991 reviews,Valletta
be.HOTEL,€ 151,"Scored 8.8 8.8Fabulous 14,430 reviews","Paceville, St Julian's"
Corinthia Palace Malta,€ 145,"Scored 9.0 9.0Superb 1,043 reviews",Attard
Hyatt Centric Malta,€ 141,Scored 9.7 9.7Exceptional 23 reviews,"Paceville, St Julian's"
The Preluna Hotel,€ 140,"Scored 8.2 8.2Very good 1,525 reviews",Sliema
Primera Hotel,€ 162,Scored 7.3 7.3Good 777 reviews,St Paul's Bay
"The Westin Dragonara Resort, Malta",€ 161,"Scored 9.1 9.1Superb 2,764 reviews","Paceville, St Julian's"
Hilton Malta,€ 189,"Scored 8.8 8.8Fabulous 2,159 reviews","Paceville, St Julian's"
The Embassy Valletta Hotel,€ 206,"Scored 9.0 9.0Superb 2,312 reviews",Valletta
"Land's End, Boutique Hotel",€ 164,"Scored 9.1 9.1Superb 1,125 reviews",Sliema
H Hotel & SPA - Adults Only,€ 143,"Scored 8.3 8.3Very good 4,335 reviews","Paceville, St Julian's"
Urban Valley Resort & Spa,€ 150,"Scored 8.7 8.7Fabulous 2,697 reviews",San Ġwann
Verdi St George's Bay Marina,€ 142,"Scored 8.5 8.5Very good 3,107 reviews",St Julian's
Hyatt Regency Malta,€ 141,"Scored 9.1 9.1Superb 4,413 reviews","Paceville, St Julian's"
Lulu Boutique Hotel,€ 169,Scored 9.9 9.9Exceptional 360 reviews,Żebbuġ
Palazzo Castagna Boutique Hotel,€ 151,Scored 9.4 9.4Superb 851 reviews,Għaxaq
Deep Blu Boutique Hotel,€ 177,Scored 9.3 9.3Superb 452 reviews,Żurrieq
Paulos Valletta,€ 141,"Scored 8.9 8.9Fabulous 1,111 reviews",Valletta
Palais Le Brun,€ 159,"Scored 9.1 9.1Superb 1,611 reviews",Valletta
Hotel Valentina,€ 141,"Scored 8.9 8.9Fabulous 2,176 reviews","Paceville, St Julian's"
Hotel Pjazza Merkanti - Boutique Living,€ 168,"Scored 8.8 8.8Fabulous 1,703 reviews",Valletta
1926 Le Soleil Hotel & Spa,€ 146,"Scored 8.6 8.6Fabulous 5,307 reviews",Sliema
"The George, Urban Boutique Hotel",€ 145,Scored 7.9 7.9Good 789 reviews,"Paceville, St Julian's"
Melior Boutique Hotel,€ 150,Scored 8.6 8.6Fabulous 979 reviews,Valletta
The Gomerino Hotel,€ 220,"Scored 9.0 9.0Superb 1,697 reviews",Valletta
Amery House,€ 161,"Scored 9.3 9.3Superb 1,911 reviews",Sliema
Gillieru Harbour Hotel,€ 150,"Scored 8.0 8.0Very good 1,431 reviews",St Paul's Bay
Grand Harbour Hotel,€ 141,"Scored 8.4 8.4Very good 3,050 reviews",Valletta
The Republic Boutique Hotel,€ 204,Scored 8.6 8.6Fabulous 162 reviews,Valletta
"Holiday Inn Express - Malta, an IHG Hotel",€ 140,"Scored 8.8 8.8Fabulous 1,744 reviews","Paceville, St Julian's"
Cavalieri Art Hotel,€ 167,"Scored 8.2 8.2Very good 3,165 reviews","Paceville, St Julian's"
Corinthia St George's Bay,€ 141,"Scored 8.5 8.5Very good 2,671 reviews",St Julian's
Tritoni Valletta Boutique Hotel,€ 144,"Scored 8.3 8.3Very good 2,046 reviews",Il-Furjana
Hotel Santana,€ 142,"Scored 7.8 7.8Good 2,044 reviews",St Paul's Bay
Osborne Hotel,€ 155,"Scored 8.7 8.7Fabulous 3,997 reviews",Valletta
The Londoner Hotel Sliema,€ 167,"Scored 8.8 8.8Fabulous 1,095 reviews",Sliema
Verdi Gzira Promenade,€ 140,"Scored 9.0 9.0Superb 2,658 reviews",Sliema
"Radisson Blu Resort, Malta St. Julian's",€ 151,"Scored 8.5 8.5Very good 1,471 reviews",St Julian's
